NAME,RATINGS,LINK
Le Petit Amour Patisserie & Bistro,"4.6
DINING",https://www.zomato.com/pune/le-petit-amour-patisserie-bistro-kothrud?zrp_bid=0&zrp_pid=14
The Daily All Day,"4.5
DINING",https://www.zomato.com/pune/the-daily-all-day-1-koregaon-park?zrp_bid=0&zrp_pid=14
The Community Table,"4.5
DINING",https://www.zomato.com/pune/the-community-table-hinjawadi?zrp_bid=0&zrp_pid=14
Maharaja Bhog,"4.6
DINING",https://www.zomato.com/pune/maharaja-bhog-senapati-bapat-road?zrp_bid=0&zrp_pid=14
Le Stone,"4.5
DINING",https://www.zomato.com/pune/le-stone-ravet?zrp_bid=0&zrp_pid=14
Starbucks Coffee,"4.7
DINING",https://www.zomato.com/pune/starbucks-coffee-koregaon-park?zrp_bid=0&zrp_pid=14
Spice Kitchen - JW Marriott Pune,"4.5
DINING",https://www.zomato.com/pune/spice-kitchen-jw-marriott-pune-senapati-bapat-road?zrp_bid=0&zrp_pid=14
.,.,.
Bacharika- Rooftop Bar And Kitchen,"4.5
DINING",https://www.zomato.com/pune/bacharika-rooftop-bar-and-kitchen-kothrud?zrp_bid=0&zrp_pid=14
Baan Tao - Hyatt Pune,"4.5
DINING",https://www.zomato.com/pune/baan-tao-hyatt-pune-kalyani-nagar?zrp_bid=0&zrp_pid=14
The French Window Patisserie,"4.9
DINING",https://www.zomato.com/pune/the-french-window-patisserie-koregaon-park?zrp_bid=0&zrp_pid=14
Chitale Bandhu Mithaiwale,"4.7
DINING",https://www.zomato.com/pune/chitale-bandhu-mithaiwale-deccan-gymkhana?zrp_bid=0&zrp_pid=14
Oriental Connexions,"4.5
DINING",https://www.zomato.com/pune/oriental-connexions-model-colony?zrp_bid=0&zrp_pid=14
Brasserie Cinq,"4.5
DINING",https://www.zomato.com/pune/brasserie-cinq-koregaon-park?zrp_bid=0&zrp_pid=14
La Gustosa,"4.5
DINING",https://www.zomato.com/pune/la-gustosa-kothrud?zrp_bid=0&zrp_pid=14
Cake Dior,"4.5
DINING",https://www.zomato.com/pune/cake-dior-koregaon-park?zrp_bid=0&zrp_pid=14
Mainland China,"4.5
DINING",https://www.zomato.com/pune/mainland-china-senapati-bapat-road?zrp_bid=0&zrp_pid=14
Mighty Crust Pizzeria,"4.6
DINING",https://www.zomato.com/pune/mighty-crust-pizzeria-pimple-nilakh?zrp_bid=0&zrp_pid=14
.,.,.
The Crunch Affair,"4.5
DINING",https://www.zomato.com/pune/the-crunch-affair-viman-nagar?zrp_bid=0&zrp_pid=14
Two Sticks,"4.5
DINING",https://www.zomato.com/pune/two-sticks-balewadi?zrp_bid=0&zrp_pid=14
Effingut,"4.6
DINING",https://www.zomato.com/pune/effingut-2-koregaon-park?zrp_bid=0&zrp_pid=14
Cafe Goa,"4.8
DINING",https://www.zomato.com/pune/cafe-goa-viman-nagar?zrp_bid=0&zrp_pid=14
Pune Baking Company - JW Marriott Pune,"4.7
DINING",https://www.zomato.com/pune/pune-baking-company-jw-marriott-pune-senapati-bapat-road?zrp_bid=0&zrp_pid=14
The Sassy Spoon,"4.6
DINING",https://www.zomato.com/pune/the-sassy-spoon-koregaon-park?zrp_bid=0&zrp_pid=14
Laa Unico,"4.5
DINING",https://www.zomato.com/pune/laa-unico-swargate?zrp_bid=0&zrp_pid=14
Shiv Kailash,"4.7
DINING",https://www.zomato.com/pune/shiv-kailash-camp-area?zrp_bid=0&zrp_pid=14
Viman Nagar Social,"4.5
DINING",https://www.zomato.com/vimannagarsocial?zrp_bid=0&zrp_pid=14
Desi Dhaba,"4.6
DINING",https://www.zomato.com/pune/desi-dhaba-hinjawadi?zrp_bid=0&zrp_pid=14
RocoMamas,"4.4
DINING",https://www.zomato.com/pune/rocomamas-kharadi?zrp_bid=0&zrp_pid=14
"Incognito - Restaurant, Bar & Cafe","4.5
DINING",https://www.zomato.com/pune/incognito-restaurant-bar-cafe-balewadi?zrp_bid=0&zrp_pid=14
Boteco - Restaurante Brasileiro,"4.8
DINING",https://www.zomato.com/pune/boteco-restaurante-brasileiro-koregaon-park?zrp_bid=0&zrp_pid=14
Zeta - Hyatt Regency Pune,"4.5
DINING",https://www.zomato.com/pune/zeta-hyatt-regency-pune-viman-nagar?zrp_bid=0&zrp_pid=14
.,.,.
