NAME,RATINGS,LINK
Soda Bottle Opener Wala,"4.5
DINING",https://www.zomato.com/mumbai/soda-bottle-opener-wala-majiwada-thane-west-thane?zrp_bid=0&zrp_pid=14
Bombay Salad Co.,"4.7
DINING",https://www.zomato.com/bombaysalad?zrp_bid=0&zrp_pid=14
SpiceKlub,"4.5
DINING",https://www.zomato.com/mumbai/spiceklub-lower-parel?zrp_bid=0&zrp_pid=14
KCROASTERS - A Koinonia Project,"4.5
DINING",https://www.zomato.com/mumbai/kcroasters-a-koinonia-project-khar?zrp_bid=0&zrp_pid=14
August Cafe,"4.5
DINING",https://www.zomato.com/mumbai/august-cafe-andheri-lokhandwala?zrp_bid=0&zrp_pid=14
Chaitanya,"4.7
DINING",https://www.zomato.com/mumbai/chaitanya-dadar-west?zrp_bid=0&zrp_pid=14
Gateway Taproom,"4.6
DINING",https://www.zomato.com/mumbai/gateway-taproom-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Coppetto Artisan Gelato,"4.9
DINING",https://www.zomato.com/mumbai/coppetto-artisan-gelato-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
Mondo,"4.6
DINING",https://www.zomato.com/mumbai/mondo-1-dahisar-west?zrp_bid=0&zrp_pid=14
.,.,.
Chin Chin Chu,"4.5
DINING",https://www.zomato.com/mumbai/chin-chin-chu-lower-parel?zrp_bid=0&zrp_pid=14
Trèsind,"4.9
DINING",https://www.zomato.com/mumbai/tr%C3%A8sind-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
MH-09 Shetkari,"4.6
DINING",https://www.zomato.com/mumbai/mh-09-shetkari-panch-pakhadi-thane-west?zrp_bid=0&zrp_pid=14
Cafe Irani Chaii,"4.6
DINING",https://www.zomato.com/mumbai/cafe-irani-chaii-mahim?zrp_bid=0&zrp_pid=14
B Merwan & Co,"4.9
DINING",https://www.zomato.com/mumbai/b-merwan-co-grant-road?zrp_bid=0&zrp_pid=14
