NAME,RATINGS,LINK
Ranch,"4.5
DINING",https://www.zomato.com/bangalore/ranch-mysore-road-bangalore?zrp_bid=0&zrp_pid=14
Lucky Chan - Dimsum & Sushi Parlour,"4.5
DINING",https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Oyster Bar & Kitchen,"4.6
DINING",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore?zrp_bid=0&zrp_pid=14
Milano Ice Cream,"4.9
DINING",https://www.zomato.com/bangalore/milano-ice-cream-indiranagar?zrp_bid=0&zrp_pid=14
O.G. Variar & Sons,"4.9
DINING",https://www.zomato.com/bangalore/o-g-variar-sons-rajajinagar?zrp_bid=0&zrp_pid=14
Red Rhino,"4.6
DINING",https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore?zrp_bid=0&zrp_pid=14
Arogya Ahaara,"4.8
DINING",https://www.zomato.com/bangalore/arogya-ahaara-hsr?zrp_bid=0&zrp_pid=14
Hakuna Matata,"4.5
DINING",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar?zrp_bid=0&zrp_pid=14
Millers 46,"4.6
DINING",https://www.zomato.com/bangalore/millers-46-vasanth-nagar?zrp_bid=0&zrp_pid=14
Vidyarthi Bhavan,"4.5
DINING",https://www.zomato.com/bangalore/vidyarthi-bhavan-basavanagudi?zrp_bid=0&zrp_pid=14
The Asian Curry House,"4.5
DINING",https://www.zomato.com/bangalore/the-asian-curry-house-malleshwaram-bangalore?zrp_bid=0&zrp_pid=14
1131 Bar + Kitchen by House of Commons,"4.5
DINING",https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore?zrp_bid=0&zrp_pid=14
Vapour Brewpub And Diner,"4.5
DINING",https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road-bangalore?zrp_bid=0&zrp_pid=14
Communiti,"4.6
DINING",https://www.zomato.com/bangalore/communiti-brigade-road-bangalore?zrp_bid=0&zrp_pid=14
Yauatcha,"4.7
DINING",https://www.zomato.com/bangalore/yauatcha-mg-road?zrp_bid=0&zrp_pid=14
.,.,.
Myu Bar At Gilly's Redefined,"4.5
DINING",https://www.zomato.com/bangalore/myu-bar-at-gillys-redefined-koramangala-4th-block-bangalore?zrp_bid=0&zrp_pid=14
Roots,"4.6
DINING",https://www.zomato.com/bangalore/roots-koramangala-1st-block?zrp_bid=0&zrp_pid=14
The London Curry House - The Royale Senate Hotel,"4.5
DINING",https://www.zomato.com/bangalore/the-london-curry-house-the-royale-senate-hotel-race-course-road-bangalore?zrp_bid=0&zrp_pid=14
Phobidden Fruit,"4.6
DINING",https://www.zomato.com/bangalore/phobidden-fruit-indiranagar?zrp_bid=0&zrp_pid=14
Hari Super Sandwich,"4.6
DINING",https://www.zomato.com/bangalore/hari-super-sandwich-jayanagar?zrp_bid=0&zrp_pid=14
.,.,.
.,.,.
JW Kitchen - JW Marriott Bengaluru,"4.5
DINING",https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road?zrp_bid=0&zrp_pid=14
Lot Like Crepes,"4.9
DINING",https://www.zomato.com/bangalore/lot-like-crepes-koramangala-7th-block?zrp_bid=0&zrp_pid=14
.,.,.
China Bistro,"4.5
DINING",https://www.zomato.com/bangalore/china-bistro-indiranagar-bangalore?zrp_bid=0&zrp_pid=14
Olive Bar & Kitchen,"4.5
DINING",https://www.zomato.com/bangalore/olive-bar-kitchen-richmond-road-bangalore?zrp_bid=0&zrp_pid=14
Masala Mandi,"4.5
DINING",https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
